Orden,ID clúster,Clúster,Estado de agrupación,Rol en clúster,Keyword,Keyword de referencia SERP,Intención dominante,Intención secundaria,Búsquedas mensuales promedio,Cambio 3 meses (%),Cambio interanual (%),Competencia Google Ads,Índice competencia Ads,Puja parte superior baja (USD),Puja parte superior alta (USD),URLs compartidas con referencia,Confianza de agrupación,Periodo de datos,Mercado Keyword Planner,Idioma Keyword Planner,Configuración SERP,Notas metodológicas
1,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Líder por volumen,deconstruction christianity,what is faith deconstruction,Informativa,,5000,0,0,Baja,8,0.03,1.11,4,Media,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,4 URLs exactas compartidas con la referencia SERP.
2,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Referencia SERP,what is faith deconstruction,what is faith deconstruction,Informativa,Servicios de acompañamiento (presencia minoritaria),50,0,0,Baja,3,,,9,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,9 URLs exactas compartidas con la referencia SERP.
3,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,deconstruction of faith,what is faith deconstruction,Informativa,,500,-90,0,Baja,3,,,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
4,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,deconstruction religion,what is faith deconstruction,Informativa,,500,0,900,Baja,1,0.03,15.81,4,Media,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,4 URLs exactas compartidas con la referencia SERP.
5,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,faith deconstruction,what is faith deconstruction,Informativa,Servicios de acompañamiento (presencia minoritaria),500,0,0,Baja,5,0.03,0.23,7,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,7 URLs exactas compartidas con la referencia SERP.
6,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,religious deconstruction,what is faith deconstruction,Informativa,,500,0,900,Baja,1,0.03,15.81,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
7,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does deconstructing faith mean,what is faith deconstruction,Informativa,,500,0,0,Baja,4,0.03,0.65,4,Media,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,4 URLs exactas compartidas con la referencia SERP.
8,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does it mean to deconstruct your faith,what is faith deconstruction,Informativa,,500,0,0,Baja,7,0.03,0.03,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
9,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is a deconstructed christian,what is faith deconstruction,Informativa,,500,0,900,Baja,4,0.02,0.03,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
10,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is christian deconstruction,what is faith deconstruction,Informativa,,500,-90,-90,Baja,5,0.03,0.03,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
11,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is deconstruction christianity,what is faith deconstruction,Informativa,,500,0,0,Baja,5,0.03,0.03,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
12,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is deconstruction in christianity,what is faith deconstruction,Informativa,,500,0,0,Baja,5,0.03,0.03,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
13,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is religious deconstruction,what is faith deconstruction,Informativa,,500,0,900,Baja,1,,,5,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,5 URLs exactas compartidas con la referencia SERP.
14,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,deconstruction church,what is faith deconstruction,Informativa,,50,0,0,Baja,8,0.03,0.03,3,Media,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,3 URLs exactas compartidas con la referencia SERP.
15,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,deconstruction in christianity,what is faith deconstruction,Informativa,,50,0,0,Baja,3,,,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
16,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,faith deconstruction meaning,what is faith deconstruction,Informativa,,50,0,∞,Baja,2,,,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
17,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does deconstructing christianity mean,what is faith deconstruction,Informativa,,50,0,900,Baja,6,0.03,0.03,4,Media,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,4 URLs exactas compartidas con la referencia SERP.
18,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does deconstructing your faith mean,what is faith deconstruction,Informativa,,50,0,0,Baja,6,,,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
19,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does deconstruction mean in christianity,what is faith deconstruction,Informativa,,50,0,0,Baja,5,,,7,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,7 URLs exactas compartidas con la referencia SERP.
20,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what does deconstruction of faith mean,what is faith deconstruction,Informativa,,50,0,0,Baja,7,,,7,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,7 URLs exactas compartidas con la referencia SERP.
21,C1,"Deconstrucción de fe, religión y cristianismo",Clúster principal,Variante semántica,what is deconstructing faith,what is faith deconstruction,Informativa,,50,0,-90,Baja,8,,,6,Alta,2025-07-01 a 2026-06-30,Estados Unidos,Todos los idiomas,Estados Unidos / inglés / personalización desactivada,6 URLs exactas compartidas con la referencia SERP.
